Position,Name,CPU,Clock Speed,Score (cb),extra info
314,COSTAS_,AMD Ryzen 5 1600,3.791ghz,1312,
315,thinkoffcenter,2x Intel Xeon X5650,2.67ghz,1310,
316,StepinCurry,AMD Ryzen 5 1600,3.892ghz,1309,
317,walkawalka,AMD Ryzen 5 1600,3.942ghz,1309,
318,Pyroven,2x Intel Xeon X5660,2.8ghz,1307,
319,Mike455832,AMD Ryzen 5 1600X,3.999ghz,1307,
320,Poohy14,Intel Core I7 6850K,4.2ghz,1304,
321,Prastupok,Intel Core I7 5820K,4.6ghz,1303,
322,MatthewAscough,2x Intel Xeon X5650,2.933ghz,1303,
323,NutzInTheHead,Intel Core I7 5820K,4.5ghz,1302,
324,kinski,4x AMD Opteron 8435,2.62ghz,1302,
325,sgloux3470,AMD Ryzen 5 1600,3.79ghz,1302,
326,Tech Wizard,Intel Core I7 3930K,4.957ghz,1302,
327,KB_TheDireWolf,AMD Ryzen 5 1600,3.992ghz,1300,
328,DeathPheonix,Intel Core I7 5930K,4.5ghz,1296,
329,TorqueS,AMD Ryzen 5 1600,3.85ghz,1295,
330,Tech Wizard,Intel Xeon E5 1650 ,4.909ghz,1294,
331,MegaTechPC,Intel Core I7 3960X,5ghz,1293,
332,lucasalles,Intel Core I7 5930K,4.4ghz,1293,
333,mrbulle,Intel Core I7 4960X,4.8ghz,1290,
334,This kid builds pc,AMD Ryzen 5 1600,4ghz,1290,
335,ghostdogg,Intel Core I7 5820K,4.5ghz,1288,
336,TheLhent,Intel Core i7 3930K,5.1ghz,1287,
337,R24,AMD Ryzen 5 1600,3.892ghz,1286,
338,kwongsir,Intel Core I5 8600K,5.1ghz,1286,
339,Tech Wizard,Intel Core I7 3960X,4.824ghz,1284,
340,Lays,Intel Core I7 3930K,5.1ghz,1283,
341,NJM1112,Intel Core I7 5930K,4.4ghz,1282,
342,dave_k,AMD Ryzen 5 1600,3.89ghz,1281,
343,mmCharles,AMD Ryzen 5 1600,3.89ghz,1281,
344,LOLPhilips,Intel Core I7 3930K,5ghz,1279,
345,agent_x007,Intel Core I7 4960X,4.733ghz,1279,
346,LastThoughts,Intel Core I7 5820K,4.4ghz,1277,
347,Conner Price,Intel Core I7 8600K,5.1ghz,1275,
348,Abakan,Intel Core I7 5820K,4.4ghz,1274,
